week,year,bitcoin
29,2020,56.7
30,2020,52.349999999999994
31,2020,91.8
32,2020,80.7
33,2020,76.65
34,2020,72.6
35,2020,60.9
36,2020,75.59
37,2020,63.96
38,2020,57.07000000000001
39,2020,53.690000000000005
40,2020,43.940000000000005
41,2020,42.64
42,2020,44.33
43,2020,67.6
44,2020,72.35
45,2020,77.97
46,2020,77.74000000000001
47,2020,115.69
48,2020,122.82000000000001
49,2020,88.07000000000001
50,2020,66.96
51,2020,122.14
52,2020,127.41
53,2020,206.99
1,2021,320.45
2,2021,293.15
3,2021,191.1
4,2021,186.55
5,2021,179.56
6,2021,314.23
7,2021,308.87
8,2021,317.58000000000004
9,2021,246.72
10,2021,277.44
11,2021,244.32
12,2021,233.76
13,2021,199.28
14,2021,164.32
15,2021,237.12
16,2021,257.92
17,2021,180.29000000000002
18,2021,125.29
19,2021,176.88
20,2021,292.12
21,2021,184.25
22,2021,223.70999999999998
23,2021,233.55
24,2021,186.75
25,2021,222.3
26,2021,144.0
27,2021,105.3
28,2021,102.3
29,2021,124.5
30,2021,148.98
31,2021,172.67
32,2021,196.54
33,2021,172.05
34,2021,174.53
35,2021,124.31
36,2021,149.11
37,2021,109.12
38,2021,137.02
39,2021,111.0
40,2021,131.95
41,2021,147.35
42,2021,181.3
43,2021,145.25
44,2021,159.46
45,2021,199.58
46,2021,190.4
47,2021,187.68
48,2021,150.28
49,2021,120.7
50,2021,109.14
51,2021,103.02
52,2021,104.18
1,2022,142.38
2,2022,117.17999999999999
3,2022,156.66
4,2022,160.86
5,2022,145.74
6,2022,133.2
7,2022,122.03999999999999
8,2022,157.68
9,2022,166.42000000000002
10,2022,144.46
11,2022,126.17
12,2022,127.1
13,2022,141.35
14,2022,140.88
15,2022,136.32
16,2022,125.75999999999999
17,2022,123.72
18,2022,75.6
19,2022,165.95999999999998
20,2022,103.67999999999999
21,2022,84.6
22,2022,84.48
23,2022,90.3
24,2022,257.46
25,2022,155.4
26,2022,152.74
27,2022,160.07999999999998
28,2022,145.57999999999998
29,2022,149.93
30,2022,130.5
31,2022,129.57999999999998
32,2022,127.82
33,2022,129.36
34,2022,122.76
35,2022,126.54
36,2022,58.17
